S#,Week_Day,Month,Day,Year,Prime_Minister,Time,Location,City,Province,No_of_Strike,Al_Qaeda,Taliban,Civilians,Total_Died,Women/Children,Longitude,Latitude
1,Friday,6,18,2004,Pervez Musharraf,22:00,Near Wana,South Waziristan,FATA,1,,1,4,5,N,69.9,33.0333
2,Sunday,5,8,2005,Pervez Musharraf,23:30,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,1,,1,2,N,70.1455,32.9746
3,Thursday,12,1,2005,Pervez Musharraf,,Haisori- Miran Shah,North Waziristan,FATA,1,1,,1,5,,70.1455,32.9746
4,Friday,1,6,2006,Pervez Musharraf,,Saidgai village- 115km north of Wana,North Waziristan,FATA,1,,,,3,,70.1455,32.9746
5,Friday,1,13,2006,Pervez Musharraf,3:00,Damadola Village,Bajaur  Agency,FATA,1,,,18,18,Y,71.5,34.6833
6,Monday,10,30,2006,Pervez Musharraf,,Chenagai,Bajaur  Agency,FATA,1,,,82,82,Y,71.5,34.6833
7,Friday,4,27,2007,Pervez Musharraf,,Saidgai village,North Waziristan,FATA,1,,,2,4,,70.1455,32.9746
8,Tuesday,6,19,2007,Pervez Musharraf,10:30,MamiRogha- Dattakhel,North Waziristan,FATA,3,,,32,32,Y,70.1455,32.9746
9,Friday,11,2,2007,Pervez Musharraf,,Dandey darpakhel-Miranshah,North Waziristan,FATA,1,,,8,10,,70.1455,32.9746
10,Monday,12,3,2007,Pervez Musharraf,,Jani Khel,Bannu,KPK,1,,,,,,70.6042,32.9861
11,Tuesday,1,29,2008,Pervez Musharraf,4:00,Khushali village,North Waziristan,FATA,1,1,,7,13,Y,70.1455,32.9746
12,Thursday,2,28,2008,Pervez Musharraf,2:00,Kalosha,South Waziristan,FATA,1,,,8,13,,69.9,33.0333
13,Sunday,3,16,2008,Pervez Musharraf,15:35,Dhok Pirbagh- WANA,South Waziristan,FATA,6,,,0,20,,69.9,33.0333
14,Tuesday,4,1,2008,Pervez Musharraf,,Miran shah,North Waziristan,FATA,2,,,3,3,,70.1455,32.9746
15,Wednesday,5,14,2008,Asif Ali Zardari,20:00,Damadola Village- near Afghan border,Bajaur  Agency,FATA,2,1,,19,20,Y,71.5,34.6833
16,Saturday,6,14,2008,Asif Ali Zardari,,Makeen,South Waziristan,FATA,3,,,1,1,,69.9,33.0333
17,Monday,7,28,2008,Asif Ali Zardari,,Azam Warsak- Near Wana,South Waziristan,FATA,1,1,,6,7,Y,69.9,33.0333
18,Wednesday,8,13,2008,Asif Ali Zardari,20:30,Baghar near Angoor adda- WANA,South Waziristan,FATA,1,,,12,20,,69.9,33.0333
19,Wednesday,8,20,2008,Asif Ali Zardari,19:00,Zari Noori area,South Waziristan,FATA,1,,,8,8,,69.9,33.0333
20,Wednesday,8,27,2008,Asif Ali Zardari,,Ganghikhel area,South Waziristan,FATA,1,,,0,,Y,69.9,33.0333
21,Saturday,8,30,2008,Asif Ali Zardari,16:30,Ganghikhel- WANA,South Waziristan,FATA,1,,,6,6,,69.9,33.0333
22,Saturday,8,30,2008,Asif Ali Zardari,15:00,Gundikili village- Miranshah,North Waziristan,FATA,1,,,0,6,Y,70.1455,32.9746
23,Thursday,9,4,2008,Asif Ali Zardari,17:00,Muhammand Khel- Miranshah,North Waziristan,FATA,1,,,6,6,,70.1455,32.9746
24,Friday,9,5,2008,Asif Ali Zardari,9:00,Gorveek- Miranshah,North Waziristan,FATA,3,,,10,10,Y,70.1455,32.9746
25,Monday,9,8,2008,Asif Ali Zardari,10:20,Dandey darpakhel-Miranshah,North Waziristan,FATA,4,,7,18,25,Y,70.1455,32.9746
26,Friday,9,12,2008,Asif Ali Zardari,5:30,Tol khel,North Waziristan,FATA,1,,,14,14,,70.1455,32.9746
27,Wednesday,9,17,2008,Asif Ali Zardari,,Angoor Adda,South Waziristan,FATA,1,,,5,7,,69.9,33.0333
28,Wednesday,10,1,2008,Asif Ali Zardari,,Mirali,North Waziristan,FATA,1,,,6,6,,70.1455,32.9746
29,Friday,10,3,2008,Asif Ali Zardari,16:00,Muhammand Khel- Miranshah,North Waziristan,FATA,2,,,5,21,Y,70.1455,32.9746
30,Thursday,10,9,2008,Asif Ali Zardari,22:00,Tapai-Miranshah,North Waziristan,FATA,1,,,3,9,,70.1455,32.9746
31,Saturday,10,11,2008,Asif Ali Zardari,,Miranshah,North Waziristan,FATA,2,,5,4,9,,70.1455,32.9746
32,Thursday,10,16,2008,Asif Ali Zardari,11:30,Sam-WANA,South Waziristan,FATA,1,,,5,7,,69.9,33.0333
33,Thursday,10,23,2008,Asif Ali Zardari,,Miranshah,North Waziristan,FATA,1,,,11,11,,70.1455,32.9746
34,Sunday,10,26,2008,Asif Ali Zardari,,wana,South Waziristan,FATA,1,,,20,20,,69.9,33.0333
35,Friday,10,31,2008,Asif Ali Zardari,,wana,South Waziristan,FATA,1,1,,27,28,,69.9,33.0333
36,Friday,10,31,2008,Asif Ali Zardari,,Mirali,North Waziristan,FATA,1,,12,6,12,,70.1455,32.9746
37,Friday,11,7,2008,Asif Ali Zardari,10:00,kumsham-Miranshah,North Waziristan,FATA,4,7,1,13,16,,70.1455,32.9746
38,Friday,11,14,2008,Asif Ali Zardari,1:45,miranshah,North Waziristan,FATA,1,,,6,13,,70.1455,32.9746
39,Wednesday,11,19,2008,Asif Ali Zardari,3:00,Janikhel,Bannu,KPK,1,,,4,6,,70.6042,32.9861
40,Saturday,11,22,2008,Asif Ali Zardari,4:30,Miranshah,North Waziristan,FATA,1,,,5,5,Y,70.1455,32.9746
41,Saturday,11,29,2008,Asif Ali Zardari,,Chashma-Miranshah,North Waziristan,FATA,1,,,3,3,Y,70.1455,32.9746
42,Friday,12,5,2008,Asif Ali Zardari,,Khushal Torikhel- Mirnshah,North Waziristan,FATA,1,,,6,6,,70.1455,32.9746
43,Thursday,12,11,2008,Asif Ali Zardari,,Azam Warsak,South Waziristan,FATA,1,,,7,7,,69.9,33.0333
44,Monday,12,15,2008,Asif Ali Zardari,,Tappi Tolkhel- Miranshah,North Waziristan,FATA,1,,,2,2,,70.1455,32.9746
45,Monday,12,22,2008,Asif Ali Zardari,,Ghawakhawa- Wana,South Waziristan,FATA,1,,,3,3,,69.9,33.0333
46,Monday,12,22,2008,Asif Ali Zardari,,Azam Warsak- Near Wana,South Waziristan,FATA,1,,,5,5,,69.9,33.0333
47,Thursday,1,1,2009,Asif Ali Zardari,,Karrikot- Wanna,South Waziristan,FATA,1,,5,0,5,N,69.9,33.0333
48,Friday,1,2,2009,Asif Ali Zardari,10:00,Laddha,South Waziristan,FATA,2,,,4,4,N,69.9,33.0333
49,Friday,1,23,2009,Asif Ali Zardari,17:00,Mir Ali (Near Afghan Border),North Waziristan,FATA,1,,5,10,22,N,70.1455,32.9746
